enabled,name,url,image,bonus,forwardParams
1,KingBilly Casino,https://track.rdtrk.xyz/click/3,{baseUrl}/images/logos/kingbilly.png,Up to 1.000&euro;<br>+200 Free Spins,clickid
1,No Account Casino,https://track.rdtrk.xyz/click/10,{baseUrl}/images/logos/noaccount.png,10% Cashback<br>,clickid
1,Cookie Casino,https://track.rdtrk.xyz/click/2,{baseUrl}/images/logos/cookie.png,100% up to 200&euro;<br>+200 Free Spins,clickid
1,Spinland Casino,https://track.rdtrk.xyz/click/8,{baseUrl}/images/logos/spinland.png,200% up to 3.000&euro;<br>+50 Free Spins,clickid
1,MiamiDice Casino,https://track.rdtrk.xyz/click/6,{baseUrl}/images/logos/miamidice.png,200% up to 2.000&euro;<br>+50 Free Spins,clickid
1,SpinRider Casino,https://track.rdtrk.xyz/click/5,{baseUrl}/images/logos/spinrider.png,Up to 1.000&euro;<br>+220 Free Spins,clickid
0,B Casino,https://track.rdtrk.xyz/click/13,{baseUrl}/images/logos/bcasino.png,1200&euro;<br>+ 100 Free Spins,clickid
0,Betchan NL Casino,https://track.rdtrk.xyz/click/11,{baseUrl}/images/logos/betchan.png,400&euro;<br>+120 Free Spins,clickid
0,EU Slots Casino,https://track.rdtrk.xyz/click/9,{baseUrl}/images/logos/euslot.png,100% up to 100&euro;<br>+100 Free Spins,clickid
0,Boo Casino,https://track.rdtrk.xyz/click/7,{baseUrl}/images/logos/boocasino.png,Up to 1.000&euro;<br>+150 Free Spins,clickid
0,Lucky Days,https://track.rdtrk.xyz/click/12,{baseUrl}/images/logos/luckydays.png,Up to 1.000&euro;<br>+100 Free Spins,clickid
